???"TABLE_NAME","TABLE_COMMENT"
"ABW_ANALYSIS_RESULTS",""
"ABW_CREATE_AISLE",""
"ABW_CREATE_AISLE_HDR",""
"ACCEPTANCE_STATUS",""
"ACCESSORIAL","* Accessorial"
"ACCESSORIAL_PARAM_SET_ERRORS","* Accessorial Param Set Errors"
"ACTION_TYPE",""
"ACTIVITY_TYPE",""
"ADJUSTMENT_REASON_CONFIG","Stores data for reason codes configured at Warehouse and Business Unit ,Transaction within WM and at User access level"
"AI_MASTER","Stores the Application Identifier (AI) definitions. Data is this table is pre-defined and shipped to customer as static data. AI is used as a differentiator in barcodes to identify which article the barcode refers to"
"AI_TRAN_CONFIG","AI?s can be configured at a transaction level in the AI_TRAN_CONFIG.  This will define how each transaction will use each piece of data from the barcode.  The barcode is currently supported in the receiving, pack case and cycle counting RF transactions"
"ALLOC_INVN_DTL","This table contains the output of allocation.  This stores which inventory (case # or locn id) that was allocated, how much (Qty_Alloc) and why (Int)"
"ALLOC_PARM","This table defines allocation paramaters for a specific Inventory Need Type (INT) and task priority  (i.e. different priorities of replenishment may have different values in this table).  These alloca"
"APPLICATION_CONFIGURATION","USed for Application configuration"
"APPOINTMENT_REPORT","Appointment Report data will be stored"
"APPOINTMENT_TYPE",""
"APPT_OBJECT_FEASIBLE_APPT","Defines about the appointment feasibility"
"APPT_OBJECT_INFEASIBLE_APPT","Stores feasible appointment and times for planning"
"APPT_OBJECT_PK","Stores primary key for the tables which are used in appointment report"
"APPT_OBJECT_SLOT_GROUP_SLOT","Different slot groups for slot in a appointment set up"
"APPT_SETUP_UPLOAD","Used to set up the Priority, Total capacity, Appointment Slot and Slot groups and Rate exceptions"
"APPT_UPLOAD_STATUS","Static table for storing status values"
"APPT_UPLOAD_TYPE","Static data - Daily Capacity, Total Capacity, Priority Setup, Infeasibility Setup"
"APP_SERVER_STATUS","Table to store the heartbeat or health of applications"
"AP_ALERT","It is used for capturing all the alerts generated during YM transactions"
"AP_ALERT_ACTIVITY_DETAILS",""
"AP_ALERT_ARGS",""
"AP_ALERT_DEF",""
"AP_ALERT_DEF_LCLZD_MSG",""
"AP_ALERT_DEF_NOTIFICATION","Captures to whom the notification alert email has to be sent "
"AP_ALERT_DEF_USER_GROUP_MAP",""
"AP_ALERT_ESCALATION_DETAILS",""
"AP_ALERT_OBJECTS",""
"AP_SYSTEM_ALERT_DEF",""
"AR_ACCT","This describes the information necessary to provide ""Customer Master"" -type details in required tags of various XML schemas."
"AR_ACCT_DTL","Describes the information necessary to provide ""Customer Master"" -details required for various XML schemas."
"ASN","Stores ASN (Advanced LOAD Notice) Objects - header"
"ASN_ATTRIBUTE","Custom attributes for the ASN object."
"ASN_COMMUNICATION_METHOD",""
"ASN_DETAIL","Stores ASN (Advanced Shipment Notice) Objects - detail"
"ASN_DETAIL_ATTRIBUTE","Custom attributes for the ASN detail object."
"ASN_DETAIL_GS1",""
"ASN_DETAIL_REF",""
"ASN_DETAIL_STATUS","Status codes for asn_detail"
"ASN_EVENT","Audited ASN events."
"ASN_LEVEL","Static values to define ASN type."
"ASN_NOTE","Holds comments for the ASN object."
"ASN_RECEIVED_CODES",""
"ASN_REF",""
"ASN_SEAL_NUMBER","Stores multiple seal #s for an ASN. Added for ILS integration"
"ASN_STATUS",""
"ASN_TYPE",""
"ASN_UNIT_DETAIL","Stores the unit level receiving condition information"
"ATTRIBUTE_DETAIL",""
"AUDIT_FIELD_NAME",""
"AUTOMATION",""
"AUTO_CREATE_RULE",""
"A_IN_EXCEL",""
"A_IN_EXCEL_WHSE",""
"BASEDATA_LOG",""
"BASE_ACTIVITY_TYPE",""
"BASE_DATA_DELTA","For use by Babylon, this table holds the output of a series of triggers designed to detect when certain data has changed with respect to this application's integration with Order Streaming."
"BASIC_QUARTZ_CONFIG",""
"BATCH_HIST_SHIP","Belongs to the Batch_Master set of tables. Used to track shipping history of Lots"
"BATCH_HIST_STAT","Belongs to the Batch_Master set of tables. Used to track shipping statistics of Lots"
"BATCH_HIST_WORK_ORD","Belongs to the Batch_Master set of tables. Used to track shipping statistics of Lots"
"BATCH_MASTER","Keeps a record of Lots or Batches in WM inventory as well as their characteristics "
"BAY_TYPES",""
"BAY_TYPE_LEVEL",""
"BEAN_VALIDATOR",""
"BINDING_DETAILS",""
"BINDING_TYPE",""
"BINS",""
"BIN_XREF",""
"BOL_OUTPT_CARR_INFO","This table is used to store the carrier information section in BOL"
"BOL_OUTPT_CUST_ORD","This table is used to store the customer order information in BOL"
"BOL_OUTPT_SHPMT_ATTR","This table is used to store the shipment attribute details for BOL reports"
"BOL_OUTPT_STOP_ATTR","This table is used to store the Stop attribute details for BOL reports"
"BOOKING_ACTION",""
"BORROWING",""
"BP_RESTRICTION","stores the restricted attributes for vendor"
"BRCD_STRUCT","Defines the valid barcode characteristics (length, prefix, etc.) for different entities like ASN, LPN, etc"
"BROKEN_CONSTRAINTS",""
"BR_ADDL_ITEMS",""
"BR_DETAIL",""
"BR_HEADER",""
"BR_TARGET",""
"BUNDLE_META_DATA","Resource bundle meta data table. This table is used to identify whether a resource bundle is DB based or not."
"BUSINESS_GROUP",""
"BUSINESS_ORDER_MAPPING","TABLE TO STORE BUSINESS ORDER MAPPING  DATA"
"CALENDAR_DTL",""
"CALLOUT_EVENT","CALLOUT_EVENT"
"CALLOUT_MAPPING","CALLOUT_MAPPING"
"CALLOUT_SCRIPT","CALLOUT_SCRIPT"
"CARRIER_BILLING_METHODS",""
"CARRIER_CODE_NOTE",""
"CARRIER_INVOICE_MASK",""
"CARRIER_RGLANE_REJECT","Routing Lane Shipment Tender Rejection information of the Carrier"
"CART_PLAN","This setup is used in the pick cart planning of the picking process which generates tasks for the pickers to execute. This table stores the cart plans used in the planning process "
"CASE_LOCN_FIT",""
"CATEGORY",""
"CAT_CODE",""
"CD_MASTER","Stores a list of Companies"
"CD_MASTER_DTL","Stores a list of attributes used by WM for Company level configuration"
"CFMF_STATUS",""
"CHANNEL_TYPE","CHANNEL_TYPE reference table"
"CHECK_DIGIT_TYPE",""
"CHUTE_ASSIGN_PRTY","Defines the priorities for chute assignment for a given Chute Assignment Type"
"CHUTE_MASTER","Contains a list of all available chutes"
"CLAIM_ACTION_CODE",""
"CLAIM_ACTION_TYPE",""
"CLAIM_CATEGORY",""
"CLAIM_CLASSIFICATION",""
"CLAIM_PARAMETER",""
"CLAIM_SYSTEM_ACTION_CODE",""
"CLAIM_TYPE",""
"CLASSIFICATION_CODE","Stores Classification Code Entries"
"CL_ALERT","Internal table. Core language services."
"CL_CLUSTER","Internal table. Core language services."
"CL_CONNECT_MODE",""
"CL_CONNECT_WHEN",""
"CL_CONTROL_FILE_FORMAT",""
"CL_CONTROL_FILE_OPTION",""
"CL_CONVERSATION","Internal table. Core language services."
"CL_CRON","Internal table. Core language services."
"CL_CRON_GROUP","Internal table. Core language services."
"CL_DATA_ENCODING",""
"CL_DATA_FORMAT",""
"CL_DATA_TRANSFER",""
"CL_DIRECTION",""
"CL_DISCONNECT_WHEN",""
"CL_DRIVER","Internal table. Core language services."
"CL_DRIVER_INTERCEPTOR","Internal table. Core language services."
"CL_ENABLE_OPTION",""
"CL_ENDPOINT","Internal table. Core language services."
"CL_ENDPOINT_EXT",""
"CL_ENDPOINT_QUEUE","Internal table. Core language services."
"CL_ENDPOINT_QUEUE_HISTORY","Internal table. Core language services."
"CL_ENDPOINT_STATUS_DETAIL","Holds Information about End Point Status Detail"
"CL_ENGINE","Internal table. Core language services."
"CL_ENGINE_CONFIG",""
"CL_ENGINE_GROUP","Internal table. Core language services."
"CL_ENGINE_GROUP_XREF","Internal table. Core language services."
"CL_EVENT_MASTER","Internal table. Core language services."
"CL_EVENT_PUBLICATION","Internal table. Core language services."
"CL_EVENT_SUBSCRIPTION","Internal table. Core language services."
"CL_EXTENDED_CONFIGURATION","Internal table. Core language services."
"CL_FAILOVER_TRACKING","Internal table. Core language services."
"CL_FRAMING_STYLE",""
"CL_FTP_CONNECT_MODE",""
"CL_HEARTBEAT_TYPE",""
"CL_HTTP_GROUP","Internal table. Core language services."
"CL_HTTP_HEADER","Internal table. Core language services."
"CL_INTERCEPTOR","Internal table. Core language services."
"CL_MACHINE","Internal table. Core language services."
"CL_MACHINE_XREF","Mapping data between CL_CLUSTER and CL_MACHINE"
"CL_MESSAGE","Internal table. Core language services."
"CL_MESSAGE_HISTORY","Internal table. Core language services."
"CL_MESSAGE_KEYS","Internal table. Core language services."
"CL_MESSAGE_KEYS_HISTORY","Internal table. Core language services."
"CL_MESSAGE_STATUS",""
"CL_PRIORITY",""
"CL_PROTOCOL",""
