???"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","COLUMN_ID","COLUMN_COMMENT"
"ABW_ANALYSIS_RESULTS","ABW_ANALYSIS_RESULTS_ID","NUMBER","22","10","0","N","1",""
"ABW_ANALYSIS_RESULTS","RACK_TYPE","NUMBER","22","10","0","Y","2",""
"ABW_ANALYSIS_RESULTS","ANALYSIS_ORDER","NUMBER","22","10","0","Y","3",""
"ABW_ANALYSIS_RESULTS","NEEDED_SLOTS","NUMBER","22","10","0","Y","4",""
"ABW_ANALYSIS_RESULTS","NEEDED_WIDTH","NUMBER","22","9","2","Y","5",""
"ABW_ANALYSIS_RESULTS","NEEDED_VOLUME","NUMBER","22","9","4","Y","6",""
"ABW_ANALYSIS_RESULTS","CREATE_DATE_TIME","TIMESTAMP(3)","11","","3","N","7",""
"ABW_ANALYSIS_RESULTS","MOD_DATE_TIME","TIMESTAMP(3)","11","","3","N","8",""
"ABW_ANALYSIS_RESULTS","MOD_USER","VARCHAR2","200","","","Y","9",""
"ABW_CREATE_AISLE","ABW_CREATE_AISLE_DTL_ID","NUMBER","22","10","0","N","1",""
"ABW_CREATE_AISLE","ABW_CREATE_AISLE_ID","NUMBER","22","10","0","Y","2",""
"ABW_CREATE_AISLE","BEGIN_BAY","VARCHAR2","16","","","Y","3",""
"ABW_CREATE_AISLE","END_BAY","VARCHAR2","16","","","Y","4",""
"ABW_CREATE_AISLE","STEP","NUMBER","22","10","0","Y","5",""
"ABW_CREATE_AISLE","BAY_TYPE","NUMBER","22","10","0","Y","6",""
"ABW_CREATE_AISLE","CREATE_DATE_TIME","TIMESTAMP(3)","11","","3","N","7",""
"ABW_CREATE_AISLE","MOD_DATE_TIME","TIMESTAMP(3)","11","","3","N","8",""
"ABW_CREATE_AISLE","MOD_USER","VARCHAR2","200","","","Y","9",""
"ABW_CREATE_AISLE_HDR","ABW_CREATE_AISLE_ID","NUMBER","22","10","0","N","1",""
"ABW_CREATE_AISLE_HDR","AREA","VARCHAR2","16","","","Y","2",""
"ABW_CREATE_AISLE_HDR","ZONE","VARCHAR2","16","","","Y","3",""
"ABW_CREATE_AISLE_HDR","AISLE","VARCHAR2","16","","","Y","4",""
"ABW_CREATE_AISLE_HDR","SNS_ID","NUMBER","22","10","0","Y","5",""
"ABW_CREATE_AISLE_HDR","WHSE_CODE","VARCHAR2","12","","","Y","6",""
"ABW_CREATE_AISLE_HDR","CREATE_DATE_TIME","TIMESTAMP(3)","11","","3","N","7",""
"ABW_CREATE_AISLE_HDR","MOD_DATE_TIME","TIMESTAMP(3)","11","","3","N","8",""
"ABW_CREATE_AISLE_HDR","MOD_USER","VARCHAR2","200","","","N","9",""
"ACCEPTANCE_STATUS","ACCEPTANCE_STATUS","NUMBER","22","2","0","N","1","Indicates the status of PurchaseOrder with respect to Vendor"
"ACCEPTANCE_STATUS","DESCRIPTION","VARCHAR2","200","","","N","2","Description"
"ACCESSORIAL","ACCESSORIAL_ID","NUMBER","22","8","0","N","1","* Accessorial Id"
"ACCESSORIAL","TC_COMPANY_ID","NUMBER","22","9","0","N","2","* Company ID"
"ACCESSORIAL","ACCESSORIAL_TYPE","VARCHAR2","16","","","N","3","* Accessorial Type"
"ACCESSORIAL","DESCRIPTION","VARCHAR2","200","","","Y","4","* Description"
"ACCESSORIAL","LAST_UPDATED_SOURCE","VARCHAR2","200","","","N","5","* Last Updated Source"
"ACCESSORIAL","LAST_UDPATED_DTTM","TIMESTAMP(6)","11","","6","N","6","* Last Udpated Date and Time"
"ACCESSORIAL","CREATED_DTTM","TIMESTAMP(6)","11","","6","N","7","created dttm column for auditing"
"ACCESSORIAL","LAST_UPDATED_DTTM","TIMESTAMP(6)","11","","6","Y","8","last updated dttm column for auditing"
"ACCESSORIAL_PARAM_SET_ERRORS","ACCESSORIAL_PARAM_SET_ERROR","NUMBER","22","8","0","N","1","* Accessorial Param Set Error"
"ACCESSORIAL_PARAM_SET_ERRORS","TC_COMPANY_ID","NUMBER","22","9","0","N","2","* Company ID"
"ACCESSORIAL_PARAM_SET_ERRORS","PARAM_ID","NUMBER","22","8","0","Y","3","* Param Id"
"ACCESSORIAL_PARAM_SET_ERRORS","ERROR_MSG_DESC","VARCHAR2","1020","","","Y","4","* Error Message Desc"
"ACCESSORIAL_PARAM_SET_ERRORS","SUB_OBJECT_ID","NUMBER","22","12","0","Y","5","* Sub Object Id"
"ACCESSORIAL_PARAM_SET_ERRORS","SUB_OBJECT_TYPE","VARCHAR2","16","","","Y","6","* Sub Object Type"
"ACCESSORIAL_PARAM_SET_ERRORS","CREATED_DTTM","TIMESTAMP(6)","11","","6","N","7","created dttm column for auditing"
"ACCESSORIAL_PARAM_SET_ERRORS","LAST_UPDATED_DTTM","TIMESTAMP(6)","11","","6","Y","8","last updated dttm column for auditing"
"ACCESSORIAL_PARAM_SET_VIEW","ACCESSORIAL_PARAM_SET_ID","NUMBER","22","","","Y","1",""
"ACCESSORIAL_PARAM_SET_VIEW","TC_COMPANY_ID","NUMBER","22","9","0","Y","2",""
"ACCESSORIAL_PARAM_SET_VIEW","CARRIER_CODE","VARCHAR2","40","","","Y","3",""
"ACCESSORIAL_PARAM_SET_VIEW","CARRIER_ID","NUMBER","22","","","Y","4",""
"ACCESSORIAL_PARAM_SET_VIEW","USE_FAK_COMMODITY","NUMBER","22","1","0","Y","5",""
"ACCESSORIAL_PARAM_SET_VIEW","COMMODITY_CLASS","NUMBER","22","8","0","Y","6",""
"ACCESSORIAL_PARAM_SET_VIEW","EQUIPMENT_CODE","VARCHAR2","80","","","Y","7",""
"ACCESSORIAL_PARAM_SET_VIEW","EQUIPMENT_ID","NUMBER","22","12","0","Y","8",""
"ACCESSORIAL_PARAM_SET_VIEW","EFFECTIVE_DT","DATE","7","","","Y","9",""
"ACCESSORIAL_PARAM_SET_VIEW","EXPIRATION_DT","DATE","7","","","Y","10",""
"ACCESSORIAL_PARAM_SET_VIEW","CM_RATE_TYPE","VARCHAR2","8","","","Y","11",""
"ACCESSORIAL_PARAM_SET_VIEW","CM_RATE_CURRENCY_CODE","VARCHAR2","12","","","Y","12",""
"ACCESSORIAL_PARAM_SET_VIEW","STOP_OFF_CURRENCY_CODE","VARCHAR2","12","","","Y","13",""
"ACCESSORIAL_PARAM_SET_VIEW","DISTANCE_UOM","VARCHAR2","8","","","Y","14",""
"ACCESSORIAL_PARAM_SET_VIEW","BUDGETED_APPROVED","NUMBER","22","4","0","Y","15",""
"ACCESSORIAL_PARAM_SET_VIEW","SIZE_UOM","VARCHAR2","32","","","Y","16",""
"ACCESSORIAL_PARAM_SET_VIEW","SIZE_UOM_ID","NUMBER","22","","","Y","17",""
"ACCESSORIAL_PARAM_SET_VIEW","IS_GLOBAL","NUMBER","22","1","0","Y","18",""
"ACCESSORIAL_PARAM_SET_VIEW","HAS_ERRORS","NUMBER","22","","","Y","19",""
"ACCESSORIAL_PARAM_SET_VIEW","DTL_HAS_ERRORS","NUMBER","22","","","Y","20",""
"ACCESSORIAL_RATE_DATA_VIEW","LANE_ACCESSORIAL_ID","NUMBER","22","8","0","N","1",""
"ACCESSORIAL_RATE_DATA_VIEW","TC_COMPANY_ID","NUMBER","22","9","0","N","2",""
"ACCESSORIAL_RATE_DATA_VIEW","ACCESSORIAL_ID","NUMBER","22","8","0","Y","3",""
"ACCESSORIAL_RATE_DATA_VIEW","ACCESSORIAL_CODE","VARCHAR2","96","","","N","4",""
"ACCESSORIAL_RATE_DATA_VIEW","LANE_ID","NUMBER","22","8","0","N","5",""
"ACCESSORIAL_RATE_DATA_VIEW","RATING_LANE_DTL_SEQ","NUMBER","22","12","0","N","6",""
"ACCESSORIAL_RATE_DATA_VIEW","RATE","NUMBER","22","15","4","Y","7",""
"ACCESSORIAL_RATE_DATA_VIEW","MINIMUM_RATE","NUMBER","22","14","3","Y","8",""
"ACCESSORIAL_RATE_DATA_VIEW","CURRENCY_CODE","VARCHAR2","12","","","N","9",""
"ACCESSORIAL_RATE_DATA_VIEW","IS_AUTO_APPROVE","NUMBER","22","1","0","N","10",""
"ACCESSORIAL_RATE_DATA_VIEW","ACCESSORIAL_TYPE","VARCHAR2","16","","","N","11",""
"ACCESSORIAL_RATE_DATA_VIEW","DATA_SOURCE","VARCHAR2","80","","","Y","12",""
"ACCESSORIAL_RATE_DATA_VIEW","DISTANCE_UOM","VARCHAR2","8","","","Y","13",""
"ACCESSORIAL_RATE_DATA_VIEW","IS_SHIPMENT_ACCESSORIAL","NUMBER","22","1","0","N","14",""
"ACCESSORIAL_RATE_DATA_VIEW","PAYEE_CARRIER_ID","NUMBER","22","12","0","Y","15",""
"ACCESSORIAL_RATE_DATA_VIEW","MINIMUM_SIZE","NUMBER","22","14","3","Y","16",""
"ACCESSORIAL_RATE_DATA_VIEW","MAXIMUM_SIZE","NUMBER","22","14","3","Y","17",""
"ACCESSORIAL_RATE_DATA_VIEW","IS_TAX_ACCESSORIAL","NUMBER","22","1","0","N","18",""
"ACCESSORIAL_RATE_DATA_VIEW","IS_ADD_TO_SPOT_CHARGE","NUMBER","22","1","0","N","19",""
"ACCESSORIAL_RATE_DATA_VIEW","IS_APPLY_ONCE_PER_SHIP","NUMBER","22","1","0","Y","20",""
"ACCESSORIAL_RATE_DATA_VIEW","IS_NON_MACHINEABLE","NUMBER","22","4","0","N","21",""
"ACCESSORIAL_RATE_DATA_VIEW","IS_SHIP_VIA","NUMBER","22","4","0","N","22",""
"ACCESSORIAL_RATE_DATA_VIEW","IS_REQUESTED","NUMBER","22","4","0","N","23",""
"ACCESSORIAL_RATE_DATA_VIEW","IS_RESIDENTIAL_DELIVERY","NUMBER","22","4","0","N","24",""
"ACCESSORIAL_RATE_VIEW","ACCESSORIAL_PARAM_SET_ID","NUMBER","22","","","Y","1",""
"ACCESSORIAL_RATE_VIEW","ACCESSORIAL_RATE_ID","NUMBER","22","8","0","Y","2",""
"ACCESSORIAL_RATE_VIEW","TC_COMPANY_ID","NUMBER","22","9","0","Y","3",""
"ACCESSORIAL_RATE_VIEW","MOT","VARCHAR2","32","","","Y","4",""
"ACCESSORIAL_RATE_VIEW","MOT_ID","NUMBER","22","","","Y","5",""
"ACCESSORIAL_RATE_VIEW","EQUIPMENT_CODE","VARCHAR2","80","","","Y","6",""
"ACCESSORIAL_RATE_VIEW","EQUIPMENT_ID","NUMBER","22","","","Y","7",""
"ACCESSORIAL_RATE_VIEW","SERVICE_LEVEL","VARCHAR2","32","","","Y","8",""
"ACCESSORIAL_RATE_VIEW","SERVICE_LEVEL_ID","NUMBER","22","","","Y","9",""
"ACCESSORIAL_RATE_VIEW","PROTECTION_LEVEL","VARCHAR2","32","","","Y","10",""
"ACCESSORIAL_RATE_VIEW","PROTECTION_LEVEL_ID","NUMBER","22","","","Y","11",""
"ACCESSORIAL_RATE_VIEW","CUSTOMER_CODE","VARCHAR2","40","","","Y","12",""
"ACCESSORIAL_RATE_VIEW","CUSTOMER_ID","NUMBER","22","","","Y","13",""
"ACCESSORIAL_RATE_VIEW","ACCESSORIAL_CODE","VARCHAR2","96","","","Y","14",""
"ACCESSORIAL_RATE_VIEW","RATE","NUMBER","22","","","Y","15",""
"ACCESSORIAL_RATE_VIEW","MINIMUM_RATE","NUMBER","22","14","3","Y","16",""
"ACCESSORIAL_RATE_VIEW","CURRENCY_CODE","VARCHAR2","12","","","Y","17",""
"ACCESSORIAL_RATE_VIEW","IS_AUTO_APPROVE","NUMBER","22","1","0","Y","18",""
"ACCESSORIAL_RATE_VIEW","EFFECTIVE_DT","TIMESTAMP(6)","11","","6","Y","19",""
"ACCESSORIAL_RATE_VIEW","EXPIRATION_DT","TIMESTAMP(6)","11","","6","Y","20",""
"ACCESSORIAL_RATE_VIEW","HAS_ERRORS","NUMBER","22","","","Y","21",""
"ACCESSORIAL_RATE_VIEW","PAYEE_CARRIER_CODE","VARCHAR2","40","","","Y","22",""
"ACCESSORIAL_RATE_VIEW","PAYEE_CARRIER_ID","NUMBER","22","","","Y","23",""
"ACCESSORIAL_RATE_VIEW","MINIMUM_SIZE","NUMBER","22","14","3","Y","24",""
"ACCESSORIAL_RATE_VIEW","MAXIMUM_SIZE","NUMBER","22","14","3","Y","25",""
"ACCESSORIAL_RATE_VIEW","SIZE_UOM","VARCHAR2","32","","","Y","26",""
"ACCESSORIAL_RATE_VIEW","SIZE_UOM_ID","NUMBER","22","","","Y","27",""
"ACCESSORIAL_RATE_VIEW","IS_SHIPMENT_ACCESSORIAL","NUMBER","22","1","0","Y","28",""
"ACCESSORIAL_RATE_VIEW","ACCESSORIAL_ID","NUMBER","22","","","Y","29",""
"ACCESSORIAL_RATE_VIEW","INCOTERM_ID","NUMBER","22","","","Y","30",""
"ACCESSORIAL_RATE_VIEW","LONGEST_DIMENSION","NUMBER","22","13","2","Y","31",""
"ACCESSORIAL_RATE_VIEW","SECOND_LONGEST_DIMENSION","NUMBER","22","13","2","Y","32",""
"ACCESSORIAL_RATE_VIEW","LENGTH_PLUS_GRITH","NUMBER","22","13","2","Y","33",""
"ACCESSORIAL_RATE_VIEW","WEIGHT","NUMBER","22","8","0","Y","34",""
