"   ","TABLE_NAME","CONSTRAINT_NAME","CONSTRAINT_TYPE","COLUMN_NAME","POSITION"
"1","ABW_ANALYSIS_RESULTS","PK_ABW_ANALYSIS_RESULTS","P","ABW_ANALYSIS_RESULTS_ID","1"
"2","ABW_CREATE_AISLE","PK_ABW_CREATE_AISLE","P","ABW_CREATE_AISLE_DTL_ID","1"
"3","ABW_CREATE_AISLE_HDR","PK_ABW_CREATE_AISLE_HDR","P","ABW_CREATE_AISLE_ID","1"
"4","ACCEPTANCE_STATUS","ACCEP_STATUS_PK","P","ACCEPTANCE_STATUS","1"
"5","ACCESSORIAL","ACCESSORIAL_PK","P","ACCESSORIAL_ID","1"
"6","ACCESSORIAL_PARAM_SET_ERRORS","ACC_PRM_SET_ERR_PK","P","ACCESSORIAL_PARAM_SET_ERROR","1"
"7","ACTION_TYPE","ACTION_TYPE_PK","P","ACTION_TYPE","1"
"8","ACTIVITY_TYPE","ACTIVITY_TYPE_PK","P","ACTIVITY_TYPE_ID","1"
"9","ADJUSTMENT_REASON_CONFIG","ADJUSTMENT_REASON_CONFIG_PK","P","ADJUSTMENT_REASON_CONFIG_ID","1"
"10","AI_MASTER","PK_AI_MASTER","P","AI_MASTER_ID","1"
"11","AI_MASTER","UK_AI_MASTER","U","AI","1"
"12","AI_TRAN_CONFIG","PK_AI_TRAN_CONFIG","P","AI_TRAN_CONFIG_ID","1"
"13","AI_TRAN_CONFIG","UK_AI_TRAN_CONFIG","U","TRAN_GRP","1"
"14","AI_TRAN_CONFIG","UK_AI_TRAN_CONFIG","U","AI","2"
"15","ALLOC_INVN_DTL","PK_ALLOC_INVN_DTL","P","ALLOC_INVN_DTL_ID","1"
"16","ALLOC_PARM","PK_ALLOC_PARM","P","ALLOC_PARM_ID","1"
"17","APPLICATION_CONFIGURATION","APP_CONFIG_PK","P","KEY","1"
"18","APPLICATION_CONFIGURATION","APP_CONFIG_PK","P","APPLY_TO_SERVER","2"
"19","APPOINTMENT_REPORT","APPOINTMENT_REPORT_PK","P","APPOINTMENT_REPORT_ID","1"
"20","APPOINTMENT_TYPE","APPT_TYPE_PK","P","APPOINTMENT_TYPE","1"
"21","APPT_OBJECT_FEASIBLE_APPT","APPT_OBJECT_FEASIBLE_APPT_PK","P","APPT_OBJECT_PK_ID","1"
"22","APPT_OBJECT_INFEASIBLE_APPT","APPT_OBJECT_INFEASIBLE_APPT_PK","P","APPT_OBJECT_PK_ID","1"
"23","APPT_OBJECT_PK","APPT_OBJECT_PK_PK","P","APPT_OBJECT_PK_ID","1"
"24","APPT_OBJECT_SLOT_GROUP_SLOT","APPT_OBJECT_SLOT_GROUP_SLOT_PK","P","APPT_OBJECT_PK_ID","1"
"25","APPT_SETUP_UPLOAD","APPT_SETUP_UPLOAD_PK","P","APPT_SETUP_UPLOAD_ID","1"
"26","APPT_UPLOAD_STATUS","APPT_UPLOAD_STATUS_UX","U","APPT_UPLOAD_STATUS","1"
"27","APPT_UPLOAD_TYPE","APPT_UPLOAD_TYPE_UX","U","APPT_UPLOAD_TYPE","1"
"28","APP_SERVER_STATUS","APP_SERVER_STATUS_PK","P","APP_INST_SHORT_NAME","1"
"29","AP_ALERT","AP_ALERT_PK","P","ALERT_ID","1"
"30","AP_ALERT_ACTIVITY_DETAILS","AP_ALERT_DTS_PK","P","ALERT_ACTIVITY_ID","1"
"31","AP_ALERT_ARGS","AP_ALERT_ARGS_PK","P","ALERT_ID","1"
"32","AP_ALERT_ARGS","AP_ALERT_ARGS_PK","P","ALERT_GLOBALIZATION_ID","2"
"33","AP_ALERT_ARGS","AP_ALERT_ARGS_PK","P","ARG_SEQ_NBR","3"
"34","AP_ALERT_DEF","AP_ALERT_DEF_PK","P","ALERT_DEF_ID","1"
"35","AP_ALERT_DEF_LCLZD_MSG","AP_LCLZD_PK","P","ALERT_DEF_ID","1"
"36","AP_ALERT_DEF_LCLZD_MSG","AP_LCLZD_PK","P","LOCALE_CODE","2"
"37","AP_ALERT_DEF_NOTIFICATION","AP_ALRT_DEF_NOTI_PK","P","ALERT_DEF_ID","1"
"38","AP_ALERT_DEF_USER_GROUP_MAP","AP_ALERT_USR_PK","P","ALERT_DEF_ID","1"
"39","AP_ALERT_DEF_USER_GROUP_MAP","AP_ALERT_USR_PK","P","USER_GROUP","2"
"40","AP_ALERT_ESCALATION_DETAILS","APALERTED_PK","P","ALERT_ACTIVITY_ID","1"
"41","AP_ALERT_ESCALATION_DETAILS","APALERTED_PK","P","ALERT_ID","2"
"42","AP_ALERT_ESCALATION_DETAILS","APALERTED_PK","P","ALERT_ESCALATION_ID","3"
"43","AP_ALERT_ESCALATION_DETAILS","APALERTED_PK","P","USER_ID","4"
"44","AP_ALERT_OBJECTS","AP_ALERT_OBJ_PK","P","ALERT_ID","1"
"45","AP_ALERT_OBJECTS","AP_ALERT_OBJ_PK","P","OBJECT_ID","2"
"46","AP_ALERT_OBJECTS","AP_ALERT_OBJ_PK","P","OBJECT_TYPE","3"
"47","AP_SYSTEM_ALERT_DEF","APSYSALERTDEF_PK","P","SYSTEM_ALERT_DEF_ID","1"
"48","AR_ACCT","PK_AR_ACCT","P","AR_ACCT_ID","1"
"49","AR_ACCT","UK_AR_ACCT","U","ACCT_RCVBL_ACCT_NBR","1"
"50","AR_ACCT","UK_AR_ACCT","U","FACILITY_ID","2"
"51","AR_ACCT","UK_AR_ACCT","U","TC_COMPANY_ID","3"
"52","AR_ACCT_DTL","PK_AR_ACCT_DTL","P","AR_ACCT_DTL_ID","1"
"53","ASN","ASN_PK","P","ASN_ID","1"
"54","ASN_ATTRIBUTE","ASN_ATTRIBUTE_PK","P","ASN_ID","1"
"55","ASN_ATTRIBUTE","ASN_ATTRIBUTE_PK","P","ATTRIBUTE_NAME","2"
"56","ASN_ATTRIBUTE","ASN_ATTRIBUTE_PK","P","ATTRIBUTE_SEQ","3"
"57","ASN_COMMUNICATION_METHOD","ASN_COMM_PK","P","ASN_COMMUNICATION_METHOD","1"
"58","ASN_DETAIL","ASN_DETAIL_PK","P","ASN_ID","1"
"59","ASN_DETAIL","ASN_DETAIL_PK","P","ASN_DETAIL_ID","2"
"60","ASN_DETAIL_ATTRIBUTE","ASN_DT_ATTRIB_PK","P","ASN_ID","1"
"61","ASN_DETAIL_ATTRIBUTE","ASN_DT_ATTRIB_PK","P","ASN_DETAIL_ID","2"
"62","ASN_DETAIL_ATTRIBUTE","ASN_DT_ATTRIB_PK","P","ATTRIBUTE_NAME","3"
"63","ASN_DETAIL_ATTRIBUTE","ASN_DT_ATTRIB_PK","P","ATTRIBUTE_SEQ","4"
"64","ASN_DETAIL_REF","ASN_DETAIL_REF_PK","P","ASN_ID","1"
"65","ASN_DETAIL_REF","ASN_DETAIL_REF_PK","P","ASN_DETAIL_ID","2"
"66","ASN_DETAIL_STATUS","ASN_DT_STATUS_PK","P","ASN_DETAIL_STATUS","1"
"67","ASN_EVENT","ASN_EVENT_PK","P","ASN_EVENT_ID","1"
"68","ASN_EVENT","ASN_EVENT_PK","P","ASN_ID","2"
"69","ASN_LEVEL","ASN_LEVEL_PK","P","ASN_LEVEL","1"
"70","ASN_NOTE","ASN_NOTE_PK","P","ASN_ID","1"
"71","ASN_NOTE","ASN_NOTE_PK","P","NOTE_ID","2"
"72","ASN_RECEIVED_CODES","PK_ASN_RECEIVED_CODES","P","SHPMT_NBR","1"
"73","ASN_REF","ASN_REF_PK","P","ASN_ID","1"
"74","ASN_SEAL_NUMBER","ASN_SEAL_NUMBER_PK","P","ASN_ID","1"
"75","ASN_SEAL_NUMBER","ASN_SEAL_NUMBER_PK","P","SEAL_ID","2"
"76","ASN_STATUS","ASN_STATUS_PK","P","ASN_STATUS","1"
"77","ASN_TYPE","ASN_TYPE_PK","P","ASN_TYPE","1"
"78","ASN_UNIT_DETAIL","ASN_UNIT_DETAIL_PK","P","ASN_UNIT_ID","1"
"79","AUDIT_FIELD_NAME","AUDIT_FIELD_NAME_PK","P","AUDIT_FIELD_NAME","1"
"80","AUTOMATION","PK_AUTOMATION","P","AUTO_ID","1"
"81","AUTO_CREATE_RULE","AUTO_CRT_PK","P","AUTO_CREATE_ID","1"
"82","BASE_ACTIVITY_TYPE","BASE_ACT_PL","P","BASE_ACTIVITY_TYPE_ID","1"
"83","BASE_DATA_DELTA","BASE_DATA_DELTA_PK","P","BASE_DATA_DELTA_ID","1"
"84","BASIC_QUARTZ_CONFIG","SYS_C0063290","P","JOB_KEY","1"
"85","BATCH_HIST_SHIP","PK_BATCH_HIST_SHIP","P","BATCH_HIST_SHIP_ID","1"
"86","BATCH_HIST_STAT","PK_BATCH_HIST_STAT","P","BATCH_HIST_STAT_ID","1"
"87","BATCH_HIST_WORK_ORD","PK_BATCH_HIST_WORK_ORD","P","BATCH_HIST_WORK_ORD_ID","1"
"88","BATCH_MASTER","PK_BATCH_MASTER","P","BATCH_MASTER_ID","1"
"89","BATCH_MASTER","UK_BATCH_MASTER","U","BATCH_NBR","1"
"90","BATCH_MASTER","UK_BATCH_MASTER","U","ITEM_ID","2"
