???"FROM_TABLE","FROM_COLUMN","TO_TABLE","TO_COLUMN","CONSTRAINT_NAME"
"AI_TRAN_CONFIG","AI","AI_MASTER","AI","FK_AITRANCONFIG_AIMASTER"
"ALLOC_INVN_DTL","CD_MASTER_ID","CD_MASTER","CD_MASTER_ID","FK_ALOCINVNDTL_CDMASTER"
"ALLOC_INVN_DTL","ITEM_ID","ITEM_CBO","ITEM_ID","FK_ALOCINVNDTL_ITEMCBO"
"ALLOC_PARM","CD_MASTER_ID","CD_MASTER","CD_MASTER_ID","FK_ALLOCPARM_CDMASTER"
"APPT_SETUP_UPLOAD","UPLOAD_STATUS","APPT_UPLOAD_STATUS","APPT_UPLOAD_STATUS","FK_APPT_UPLOAD_STATUS"
"APPT_SETUP_UPLOAD","UPLOAD_TYPE","APPT_UPLOAD_TYPE","APPT_UPLOAD_TYPE","FK_APPT_UPLOAD_TYPE"
"AP_ALERT_ARGS","ALERT_ID","AP_ALERT","ALERT_ID","AP_ALERT_ARGS_FK"
"AP_ALERT_DEF_LCLZD_MSG","ALERT_DEF_ID","AP_ALERT_DEF","ALERT_DEF_ID","AP_ALERT_DEFL_FK"
"AP_ALERT_DEF_NOTIFICATION","ALERT_DEF_ID","AP_ALERT_DEF","ALERT_DEF_ID","AP_ALRT_DEF_NOTI_FK"
"AR_ACCT_DTL","AR_ACCT_ID","AR_ACCT","AR_ACCT_ID","FK_ARACCTDTL_ARACCT2"
"AR_ACCT_DTL","ACCT_RCVBL_ACCT_NBR","AR_ACCT","ACCT_RCVBL_ACCT_NBR","FK_ARACCTDTL_ARACCT"
"AR_ACCT_DTL","FACILITY_ID","AR_ACCT","FACILITY_ID","FK_ARACCTDTL_ARACCT"
"AR_ACCT_DTL","TC_COMPANY_ID","AR_ACCT","TC_COMPANY_ID","FK_ARACCTDTL_ARACCT"
"ASN","ASN_STATUS","ASN_STATUS","ASN_STATUS","ASN_STATUS_FK"
"ASN","ASN_TYPE","ASN_TYPE","ASN_TYPE","ASN_ASNTP_FK"
"ASN","ASN_LEVEL","ASN_LEVEL","ASN_LEVEL","ASN_LEVEL_FK"
"ASN_ATTRIBUTE","ASN_ID","ASN","ASN_ID","ASN_ATT_ASN_FK"
"ASN_DETAIL","INVENTORY_SEGMENT_ID","INVENTORY_SEGMENT","INVENTORY_SEGMENT_ID","ASN_DT_INV_FK2"
"ASN_DETAIL","ASN_ID","ASN","ASN_ID","ASNDT_ASN_ID_FK"
"ASN_DETAIL","ASN_DETAIL_STATUS","ASN_DETAIL_STATUS","ASN_DETAIL_STATUS","ASN_DT_STATUS_FK1"
"ASN_DETAIL_ATTRIBUTE","ASN_ID","ASN_DETAIL","ASN_ID","ASN_DTL_ATT_DTL_FK"
"ASN_DETAIL_ATTRIBUTE","ASN_DETAIL_ID","ASN_DETAIL","ASN_DETAIL_ID","ASN_DTL_ATT_DTL_FK"
"ASN_NOTE","ASN_ID","ASN","ASN_ID","ASN_NOTE_ASN_FK"
"ASN_SEAL_NUMBER","ASN_ID","ASN","ASN_ID","ASNS_COM_ANS_FK"
"ASN_UNIT_DETAIL","ASN_ID","ASN","ASN_ID","ASN_FK1"
"AUTOMATION","BR_HDR_ID","BR_HEADER","BR_HDR_ID","FK_AUTOMATION_BR_HEADER"
"AUTOMATION","MOVE_HDR_ID","MOVE_LIST_HDR","MOVE_HDR_ID","FK_AUTOMATION_MOVE_LIST_HDR"
"AUTO_CREATE_RULE","DATE_TYPE","DATE_TYPE","DATE_TYPE","AUTO_CRULE_FK"
"BATCH_HIST_WORK_ORD","WORK_ORD_NBR","WORK_ORD_HDR","WORK_ORD_NBR","FK_BATCHHISTWORD_WORDHDR"
"BATCH_HIST_WORK_ORD","BATCH_MASTER_ID","BATCH_MASTER","BATCH_MASTER_ID","FK_BATCHHISTWORD_BATCHMAS"
"BATCH_HIST_WORK_ORD","WORK_ORD_HDR_ID","WORK_ORD_HDR","WORK_ORD_HDR_ID","FK_BATCHHISTWORD_WORDHDR2"
"BATCH_MASTER","VENDOR_MASTER_ID","VENDOR_MASTER","VENDOR_MASTER_ID","FK_BATCHMASTER_VENDMASTER"
"BINDING_DETAILS","BINDING_ID","WSDL_BINDINGS","BINDING_ID","BD_WB_FK"
"BINS","WHSE_CODE","WHPREFS","WHSE_CODE","FK_BIN_TO_WHPREFS"
"BIN_XREF","SKU_ID","ITEM_FACILITY_MAPPING_WMS","ITEM_FACILITY_MAPPING_ID","FK_BIN_XREF_TO_ITEM_CBO"
"BIN_XREF","BIN_ID","BINS","BIN_ID","FK_BIN_XREF_TO_BINS"
"BP_RESTRICTION","RES_ATTRIBUTE_ID","RESTRICTION_ATTRIBUTES","RES_ATTRIBUTE_ID","BP_REST_ATTR_FK"
"BP_RESTRICTION","RES_OBJECT_ID","RESTRICTION_OBJECT","RES_OBJECT_ID","BP_REST_OBJECT_FK"
"BRCD_STRUCT","AI","AI_MASTER","AI","FK_BRCD_STRUCT_AI_MASTER"
"BR_ADDL_ITEMS","ADDL_NODE_ID","TREE_DTL","NODE_ID","FK_BR_AI_TO_TREE_DTL"
"BR_ADDL_ITEMS","BR_DTL_ID","BR_DETAIL","BR_DTL_ID","FK_BR_AI_TO_DETAIL"
"BR_DETAIL","BR_HDR_ID","BR_HEADER","BR_HDR_ID","FK_BR_DETAIL_TO_HEADER"
"BR_HEADER","WHSE_CODE","WHPREFS","WHSE_CODE","FK_BR_HEADER_TO_WHPREFS"
"BR_TARGET","BR_DTL_ID","BR_DETAIL","BR_DTL_ID","FK_BR_TARGET_TO_DETAIL"
"BR_TARGET","TARGET_NODE_ID","TREE_DTL","NODE_ID","FK_BR_TARGET_TO_TREE_DTL"
"BUNDLE_META_DATA","DEF_SCREEN_TYPE_ID","SCREEN_TYPE","SCREEN_TYPE_ID","BUNDLE_MDDST_FK"
"CALLOUT_MAPPING","CALLOUT_SCRIPT_ID","CALLOUT_SCRIPT","CALLOUT_SCRIPT_ID","CALLOUT_MAPPING_FK1"
"CALLOUT_MAPPING","CALLOUT_EVENT_ID","CALLOUT_EVENT","CALLOUT_EVENT_ID","CALLOUT_MAPPING_FK2"
"CASE_LOCN_FIT","LOCN_SIZE_TYPE_ID","LOCN_SIZE_TYPE","LOCN_SIZE_TYPE_ID","FK_CASE_LOCN_FIT_2"
"CAT_CODE","CAT_ID","CATEGORY","CAT_ID","FK_CAT_CODE_TO_CATEGORY"
"CAT_CODE","WHSE_CODE","WHPREFS","WHSE_CODE","FK_CAT_CODE_TO_WHPREFS"
"CD_MASTER_DTL","CD_MASTER_ID","CD_MASTER","CD_MASTER_ID","FK_CD_MASTER_DTL"
"CHUTE_MASTER","PACK_WKSTN_ID","PACK_WKSTN_MASTER","PACK_WKSTN_ID","FK_CHUTEMAS_PACKWMASTER"
"CHUTE_MASTER","PACK_WKSTN_MASTER_ID","PACK_WKSTN_MASTER","PACK_WKSTN_MASTER_ID","FK_CHUTEMAS_PACKWMASTER2"
"CHUTE_MASTER","WHSE","PACK_WKSTN_MASTER","WHSE","FK_CHUTEMAS_PACKWMASTER"
"CLAIM_ACTION_CODE","CLAIM_ACTION_TYPE","CLAIM_ACTION_TYPE","CLAIM_ACTION_TYPE","CLAIM_ACODE_FK"
"CLAIM_CATEGORY","CLAIM_CLASSIFICATION","CLAIM_CLASSIFICATION","CLAIM_CLASSIFICATION","CLAIM_CATEGORY_FK"
"CLAIM_PARAMETER","CLAIM_CATEGORY","CLAIM_CATEGORY","CLAIM_CATEGORY","CLM_PRM_FK4"
"CLAIM_PARAMETER","CLAIM_GROUP","CLAIM_CLASSIFICATION","CLAIM_CLASSIFICATION","CLM_PRM_FK3"
"CLAIM_PARAMETER","CLAIM_TYPE","CLAIM_TYPE","CLAIM_TYPE","CLM_PRM_FK2"
"CLAIM_TYPE","CLAIM_CATEGORY","CLAIM_CATEGORY","CLAIM_CATEGORY","CLAIM_TYPE_FK"
"CL_ALERT","ENDPOINT_ID","CL_ENDPOINT","ENDPOINT_ID","CL_ALERT_FK_1"
"CL_CRON","CRON_GROUP_ID","CL_CRON_GROUP","CRON_GROUP_ID","CL_CRON_FK_1"
"CL_DRIVER","ENDPOINT_ID","CL_ENDPOINT","ENDPOINT_ID","CL_DRIVER_FK_2"
"CL_DRIVER","CLUSTER_ID","CL_CLUSTER","CLUSTER_ID","CL_DRIVER_FK_3"
"CL_DRIVER","ENGINE_ID","CL_ENGINE","ENGINE_ID","CL_DRIVER_FK_1"
"CL_DRIVER_INTERCEPTOR","INTERCEPTOR_ID","CL_INTERCEPTOR","INTERCEPTOR_ID","CL_DRIVER_INTERCEPTOR_FK_2"
"CL_DRIVER_INTERCEPTOR","DRIVER_ID","CL_DRIVER","DRIVER_ID","CL_DRIVER_INTERCEPTOR_FK_1"
"CL_ENDPOINT","CRON_GROUP_ID","CL_CRON_GROUP","CRON_GROUP_ID","CL_ENDPOINT_FK_2"
"CL_ENDPOINT","CONVERSATION_ID","CL_CONVERSATION","CONVERSATION_ID","CL_ENDPOINT_FK_1"
"CL_ENDPOINT_QUEUE","ENDPOINT_ID","CL_ENDPOINT","ENDPOINT_ID","CL_ENDPOINT_QUEUE_FK_1"
"CL_ENDPOINT_QUEUE","MSG_ID","CL_MESSAGE","MSG_ID","CL_ENDPOINT_QUEUE_FK_2"
"CL_ENDPOINT_STATUS_DETAIL","ENDPOINT_ID","CL_ENDPOINT","ENDPOINT_ID","CL_ENDPOINT_STATUS_DETAIL_FK"
"CL_ENGINE","MACHINE_ID","CL_MACHINE","MACHINE_ID","CL_ENGINE_FK_1"
"CL_ENGINE_GROUP_XREF","ENGINE_ID","CL_ENGINE","ENGINE_ID","CL_ENGINE_GROUP_XREF_FK_2"
"CL_ENGINE_GROUP_XREF","ENGINE_GROUP_ID","CL_ENGINE_GROUP","ENGINE_GROUP_ID","CL_ENGINE_GROUP_XREF_FK_1"
"CL_EVENT_PUBLICATION","EVENT_ID","CL_EVENT_MASTER","EVENT_ID","CL_EVENT_PUBLICATION_FK_1"
"CL_EVENT_PUBLICATION","ENDPOINT_ID","CL_ENDPOINT","ENDPOINT_ID","CL_EVENT_PUBLICATION_FK_2"
"CL_EVENT_SUBSCRIPTION","ENDPOINT_ID","CL_ENDPOINT","ENDPOINT_ID","CL_EVENT_SUBSCRIPTION_FK_2"
"CL_EVENT_SUBSCRIPTION","EVENT_ID","CL_EVENT_MASTER","EVENT_ID","CL_EVENT_SUBSCRIPTION_FK_1"
"CL_FAILOVER_TRACKING","CLUSTER_ID","CL_CLUSTER","CLUSTER_ID","CL_FAILOVER_TRACKING_FK_2"
"CL_FAILOVER_TRACKING","DRIVER_ID","CL_SERVER_CONFIG","SERVER_CONFIG_ID","CL_FAILOVER_TRACKING_FK_3"
"CL_HTTP_HEADER","HTTP_GROUP_ID","CL_HTTP_GROUP","HTTP_GROUP_ID","CL_HTTP_HEADER_FK_1"
"CL_MACHINE_XREF","CLUSTER_ID","CL_CLUSTER","CLUSTER_ID","CL_MACHINE_XREF_FK_1"
"CL_MACHINE_XREF","SERVER_CONFIG_ID","CL_SERVER_CONFIG","SERVER_CONFIG_ID","CL_MACHINE_XREF_FK_2"
"CL_MACHINE_XREF","MACHINE_ID","CL_MACHINE","MACHINE_ID","CL_MACHINE_XREF_FK_3"
"CL_MESSAGE_KEYS","MSG_ID","CL_MESSAGE","MSG_ID","CL_MESSAGE_KEYS_FK_1"
"CL_SERVER_CONFIG","MACHINE_ID","CL_MACHINE","MACHINE_ID","CL_SERVER_CONFIG_FK_1"
"CNSTR_DTL","CAT_ID","CATEGORY","CAT_ID","FK_CNSTR_DTL_TO_CATEGORY"
"CNSTR_DTL","CAT_CODE_ID","CAT_CODE","CAT_CODE_ID","FK_CNSTR_DTL_TO_CAT_CODE"
"CNSTR_DTL","CNSTR_ID","CONSTRAINTS","CNSTR_ID","FK_CNSTR_DTL_TO_CONSTRAINT"
"CNSTR_GRP","WHSE_CODE","WHPREFS","WHSE_CODE","FK_CNSTR_GRP_TO_WHPREFS"
"CNSTR_RACK_LEVEL","CNSTR_ID","CONSTRAINTS","CNSTR_ID","FK_CNSTRANT_TO_CNST_RACK_LVL"
"CNSTR_RACK_LEVEL","WHSE_CODE","WHPREFS","WHSE_CODE","FK_CNSTR_RACK_LEVEL_TO_WHPREFS"
