???"TABLE_NAME","INDEX_NAME","UNIQUENESS","COLUMN_NAME","COLUMN_POSITION"
"ABW_ANALYSIS_RESULTS","PK_ABW_ANALYSIS_RESULTS","UNIQUE","ABW_ANALYSIS_RESULTS_ID","1"
"ABW_CREATE_AISLE","PK_ABW_CREATE_AISLE","UNIQUE","ABW_CREATE_AISLE_DTL_ID","1"
"ABW_CREATE_AISLE_HDR","PK_ABW_CREATE_AISLE_HDR","UNIQUE","ABW_CREATE_AISLE_ID","1"
"ACCEPTANCE_STATUS","ACCEP_STATUS_PK","UNIQUE","ACCEPTANCE_STATUS","1"
"ACCESSORIAL","ACCESSORIAL_PK","UNIQUE","ACCESSORIAL_ID","1"
"ACCESSORIAL","T_ACCESSORIAL_FK_IDX_1","NONUNIQUE","ACCESSORIAL_TYPE","1"
"ACCESSORIAL_PARAM_SET_ERRORS","ACC_PRM_SET_ERR_PK","UNIQUE","ACCESSORIAL_PARAM_SET_ERROR","1"
"ACTION_TYPE","ACTION_TYPE_PK","UNIQUE","ACTION_TYPE","1"
"ACTIVITY_TYPE","ACTIVITY_TYPE_PK","UNIQUE","ACTIVITY_TYPE_ID","1"
"ADJUSTMENT_REASON_CONFIG","ADJUSTMENT_REASON_CONFIG_PK","UNIQUE","ADJUSTMENT_REASON_CONFIG_ID","1"
"ADJUSTMENT_REASON_CONFIG","ADJ_RSN_CONFIG_UNIQUE_UX_1","UNIQUE","FACILITY_ID","1"
"ADJUSTMENT_REASON_CONFIG","ADJ_RSN_CONFIG_UNIQUE_UX_1","UNIQUE","REASON_CODE","2"
"ADJUSTMENT_REASON_CONFIG","ADJ_RSN_CONFIG_UNIQUE_UX_1","UNIQUE","PERMISSION_CODE","3"
"ADJUSTMENT_REASON_CONFIG","ADJ_RSN_CONFIG_UNIQUE_UX_1","UNIQUE","TRANSACTION_ID","4"
"ADJUSTMENT_REASON_CONFIG","ADJ_RSN_CONFIG_UNIQUE_UX_1","UNIQUE","TC_COMPANY_ID","5"
"AI_MASTER","PK_AI_MASTER","UNIQUE","AI_MASTER_ID","1"
"AI_MASTER","UK_AI_MASTER","UNIQUE","AI","1"
"AI_TRAN_CONFIG","AITRANCONFIG_AI_IDX","NONUNIQUE","AI","1"
"AI_TRAN_CONFIG","PK_AI_TRAN_CONFIG","UNIQUE","AI_TRAN_CONFIG_ID","1"
"AI_TRAN_CONFIG","UK_AI_TRAN_CONFIG","UNIQUE","TRAN_GRP","1"
"AI_TRAN_CONFIG","UK_AI_TRAN_CONFIG","UNIQUE","AI","2"
"ALLOC_INVN_DTL","AID_ALLOCATION_KEY_IDX","NONUNIQUE","ALLOCATION_KEY","1"
"ALLOC_INVN_DTL","AID_TCORDIDSTAT_IDX","NONUNIQUE","TC_ORDER_ID","1"
"ALLOC_INVN_DTL","AID_TCORDIDSTAT_IDX","NONUNIQUE","STAT_CODE","2"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","ITEM_ID","1"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","INVN_NEED_TYPE","2"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","STAT_CODE","3"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","INVN_TYPE","4"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","PROD_STAT","5"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","BATCH_NBR","6"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","SKU_ATTR_1","7"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","SKU_ATTR_2","8"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","SKU_ATTR_3","9"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","SKU_ATTR_4","10"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","SKU_ATTR_5","11"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","CNTRY_OF_ORGN","12"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","WHSE","13"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","QTY_ALLOC","14"
"ALLOC_INVN_DTL","ALLOCINVNDTL_I11","NONUNIQUE","QTY_PULLD","15"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_I12","NONUNIQUE","CNTR_NBR","1"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_I12","NONUNIQUE","INVN_TYPE","2"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_I12","NONUNIQUE","PROD_STAT","3"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_I12","NONUNIQUE","BATCH_NBR","4"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_I12","NONUNIQUE","SKU_ATTR_1","5"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_I12","NONUNIQUE","SKU_ATTR_2","6"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_I12","NONUNIQUE","SKU_ATTR_3","7"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_I12","NONUNIQUE","SKU_ATTR_4","8"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_I12","NONUNIQUE","SKU_ATTR_5","9"
