???"TABLE_NAME","NUM_ROWS","LAST_ANALYZED"
"C_GSP_NBR_TRKG","86343923","2026-02-12 22:52:15"
"PROD_TRKG_TRAN","85831263","2026-01-03 6:37:49"
"SPL_CARTON_DTL_PACKING","82139263","2026-03-31 22:37:17"
"MSG_LOG","27927324","2025-12-18 22:12:25"
"P_ANALYZE_PIX_LOG","24041178","2025-12-27 22:14:51"
"PIX_TRAN","22697231","2026-05-12 22:18:44"
"WMSFE_MSG_LOG","21344530","2026-05-14 22:56:02"
"LABOR_MSG_DTL","14458043","2026-03-23 22:18:42"
"STAGING_TRAC_CODG_SN","9449930","2026-05-14 22:05:02"
"OUTPUT_PKT","8611813","2026-03-18 22:11:12"
"WMARCH_C_GSP_NBR_TRKG","7511511","2025-11-29 6:04:58"
"ALLOC_INVN_DTL","6567026","2026-04-06 22:16:15"
"LPN_DETAIL","6523805","2026-05-11 22:09:59"
"OUTPT_LPN_DETAIL","5566777","2026-04-13 22:10:08"
"LABOR_MSG","5444555","2026-05-06 22:09:25"
"LPN","5283698","2026-05-05 22:22:57"
"OUTPT_LPN","4313635","2026-03-24 22:08:14"
"ORDER_LINE_ITEM","3886529","2026-05-16 6:03:42"
"PKT_DTL","3886511","2026-05-15 22:04:43"
"OUTPT_ORDER_LINE_ITEM","3848892","2026-04-28 22:08:21"
"ORDER_LINE_ITEM_REF","3727773","2026-03-09 22:07:35"
"STATS_SNAPSHOT","3575282","2026-02-23 22:05:36"
"Z_WZ_LINE_ITEM_REF","3505723","2026-01-20 22:08:34"
"TASK_DTL","3326183","2026-05-07 22:08:30"
"SPL_RF_CARTON_SCAN","2821424","2025-12-19 22:05:05"
"RULE_SEL_DTL","2139004","2026-03-26 22:06:20"
"STATS_SNAPSHOT_EVENT","1775525","2025-12-26 22:07:12"
"TASK_HDR","1704637","2026-04-20 22:07:30"
"C_OSR_REQUEST","1441122","2021-01-03 6:00:38"
"PKT_HDR","1279350","2026-05-08 22:03:35"
"ORDERS","1251433","2026-04-29 22:10:19"
"OUTPT_ORDERS","1242114","2026-04-20 22:12:09"
"ORDER_REF","1211582","2026-03-13 22:05:21"
"OUTPUT_PIX","1208083","2025-12-28 14:04:36"
"ORDER_LINE_ITEM_GS1","1184258","2026-05-07 22:06:36"
"ORDER_NOTE","1162525","2026-01-05 22:15:28"
"WAVE_QUEUE_PKT","1148451","2025-12-18 22:06:38"
"RULE_SORT_DTL","1143006","2026-04-13 22:07:37"
"Z_WZ_PRINT_PSD","833810","2026-02-23 22:04:38"
"RULE_HDR","671180","2026-05-05 22:04:03"
"SPL_ASN_HDR","620171","2026-04-06 22:08:14"
"CD_MASTER_DTL","608202","2025-08-07 23:21:52"
"LABEL_DISPLAY","606292","2020-06-19 22:00:52"
"C_OSR_STORAGE","586758","2021-01-08 22:00:58"
"TASK_RULE_PARM","537914","2026-04-14 22:02:24"
"C_QI_INSPECTION","449854","2026-02-04 22:07:01"
"Z_WZ_PUTAWAY_PRINT","429522","2026-01-09 22:07:16"
"BATCH_MASTER","409692","2025-09-11 22:11:08"
"CL_MESSAGE_HISTORY","407606","2026-05-15 22:03:14"
"CL_ENDPOINT_QUEUE_HISTORY","407604","2026-05-15 22:02:38"
"EVENT_MESSAGE_HISTORY","407570","2026-05-09 6:02:27"
"ASN_DETAIL","347259","2026-04-27 22:06:25"
"ASN_DETAIL_REF","328638","2026-05-11 22:06:19"
"ASN_REF","322579","2026-04-10 22:03:20"
"ASN","321437","2026-05-15 22:03:00"
"ASN_NOTE","318804","2026-05-05 22:03:52"
"ITEM_PACKAGE_CBO","312094","2026-04-30 22:03:24"
"SPL_ASN_PRINT_TIME","301079","2026-02-09 22:05:58"
"SPL_ITEM_MNTN_TMP","242420","2026-05-09 6:02:37"
"LXL_IMPORT_LOT","235924","2021-04-29 22:00:04"
"LXL_IMPORT_LOTS","234558","2021-04-29 22:00:16"
"SPL_ITEM_MNTN_DTL","172455","2026-05-13 22:07:12"
"LABEL","153295","2019-07-30 22:00:44"
"MESSAGE_DISPLAY","145639","2019-04-28 6:00:22"
"ITEM_FACILITY_MAPPING_WMS","143394","2026-05-07 22:06:31"
"TRAN_LOG_MESSAGE","121145","2026-05-14 22:04:23"
"ITEM_REF","103951","2026-05-15 22:02:29"
"ITEM_CBO","103443","2026-05-11 22:06:07"
"ITEM_WMS","103034","2026-05-07 22:06:30"
"Z_WZ_PRINT_PSD_MB","102738","2021-10-28 22:02:02"
"CONTEXT_REPO","102411","2026-05-06 22:06:25"
"ASN_UNIT_DETAIL","97941","2026-01-23 22:03:03"
"WAVE_RULE_PARM","80860","2026-02-27 22:09:34"
"WAVE_PARM","79532","2026-05-11 22:06:03"
"SHIP_WAVE_PARM","79345","2026-05-07 22:06:15"
"WAVE_STATS","78219","2026-04-01 22:07:20"
"SYS_EXPORT_FULL_07","77708","2023-02-04 6:00:10"
"SYS_EXPORT_FULL_06","77695","2023-01-31 22:00:10"
"SYS_EXPORT_FULL_05","77682","2023-01-28 6:00:16"
"SYS_EXPORT_FULL_04","77670","2023-01-10 22:00:14"
"SYS_EXPORT_FULL_03","77656","2023-01-09 22:00:16"
"SYS_EXPORT_FULL_02","77638","2022-12-17 6:00:05"
"SYS_EXPORT_FULL_01","77625","2022-12-16 22:00:20"
"INVOICE_RESP_CODE","77110","2025-09-23 22:25:30"
"SYS_EXPORT_FULL_13","76986","2025-02-22 12:45:43"
"TASK_PARM","76847","2026-03-20 22:04:56"
"SYS_EXPORT_FULL_11","76845","2024-04-19 22:00:16"
"SYS_EXPORT_FULL_12","76845","2024-04-21 8:22:28"
"SYS_EXPORT_FULL_08","76747","2023-07-03 22:00:20"
"WAVE_QUEUE","75125","2026-02-10 22:06:34"
"WAVE_TASK_CRIT","75106","2026-02-10 22:06:41"
"COMPANY_PARAMETER","72764","2025-08-11 22:10:10"
"Z_WZ_PRINT_PSD_BAK0914","72145","2021-09-14 22:00:10"
"Z_WZ_GS1NBR","45294","2026-03-31 22:05:32"
"INVC_RULE_PARM","40865","2026-04-24 22:02:53"
"TRAN_LOG_RESPONSE_MESSAGE","40136","2026-05-15 22:02:55"
"TRAN_LOG","40136","2026-05-15 22:02:30"
"EVENT_MESSAGE","39772","2026-05-15 22:01:26"
"Z_WZ_INSIDE_AUD","36157","2026-03-27 22:04:37"
"Z_WZ_PRINT_PSD_BAK0707","35658","2021-07-08 22:05:45"
"INVC_PARM","35561","2026-04-24 22:02:55"
"WM_RULE_TAB_COLUMNS","34309","2023-12-04 22:04:32"
"OM_SCHED_EVENT_HISTORY","29806","2026-03-18 22:06:52"
"PRICE_TYPE_CBO","29380","2025-09-23 22:25:37"
"ILM_REASON_CODES","29380","2025-09-23 22:25:38"
"DISTRIBUTION_LIST","29380","2025-09-23 22:25:39"
"SPL_ITEM_MNTN","27363","2026-04-25 6:02:30"
"LOCN_HDR_0405","24765","2021-05-04 11:56:48"
"LOCN_HDR_0506","24765","2021-05-06 0:20:33"
"SYS_EXPORT_FULL_09","19847","2023-11-07 22:00:07"
"WM_INVENTORY","19605","2026-05-15 22:00:19"
"RESV_LOCN_HDR","19525","2026-05-14 22:02:25"
"COMPANY_REF","19469","2026-05-13 22:06:17"
"Z_WZ_DESTRUCTION","19252","2025-08-11 22:05:14"
"FACILITY_REF","17678","2026-05-14 22:02:22"
"RULE_COLM_REF","17628","2021-11-15 22:06:21"
"MESSAGE_MASTER","17176","2019-04-28 6:00:28"
"RS_CONFIG","15632","2026-04-01 22:07:09"
"ER_COLUMNS","15565","2019-07-11 17:18:42"
"VENDOR_MASTER","15404","2026-05-15 22:02:26"
"CD_MASTER","14481","2025-08-07 23:20:55"
"Z_WZ_ORDER_HDR","12896","2025-12-23 22:06:12"
"PICK_LOCN_HDR","12436","2026-03-20 22:04:43"
"C_WEBSERVICE_MSG","9891","2026-03-02 22:11:57"
"EXPT_W17_ITEM","9820","2020-04-25 18:01:10"
"RAND_MILEMAKER_COUNTY","9305","2019-07-11 17:19:22"
"CW","8737","2021-05-05 22:00:10"
"C_ASN_DETAIL","8345","2026-03-06 22:08:41"
"C_ASN_NOTE","8202","2026-03-13 22:04:23"
"C_ASN","8202","2026-03-13 22:04:28"
"C_WEBSERVICE_MSG_ERROR","8123","2026-01-06 22:04:43"
"C_GSP_NBR_VLDG","8098","2025-06-10 22:04:44"
"EXPT_W17_ASN","7884","2020-04-29 22:02:43"
"Z_WZ_LOCN_HDR","7829","2024-11-25 22:00:57"
"PICK_LOCN_HDR_0507","7385","2021-05-07 11:40:11"
"PICK_LOCN_HDR_0504","7385","2021-05-05 22:02:48"
"WZ_TMP5","7188","2021-05-25 22:00:12"
"DB_CR_HISTORY","6860","2019-07-11 17:18:36"
"CL_ENDPOINT_QUEUE","6698","2026-05-16 6:00:52"
"CL_MESSAGE","6698","2026-05-16 6:01:31"
"LPN_LOCK","6295","2026-05-15 22:00:51"
"PICK_LOCN_DTL","5947","2026-05-15 22:00:55"
"LOCN_WIZ_DTL","5932","2026-03-10 22:04:16"
"FILTER_LAYOUT","5070","2019-08-20 22:00:47"
"RESOURCE_PERMISSION","4883","2021-01-15 22:01:29"
"LRF_REP_SCHD_PARAM","4320","2026-04-27 22:04:43"
"WZ_TMP3","4320","2021-05-18 13:56:10"
"LXL_IMPORT_ITEM","4284","2021-01-16 14:01:34"
"RESOURCES","3799","2021-01-15 22:01:10"
"WZ_TMP6","3388","2021-05-25 22:07:35"
"NAVIGATION_APP_MOD_PERM","3175","2020-07-28 22:00:47"
"RULE_COLM_LIST","3158","2019-08-06 22:01:00"
"TRAN_MASTER_PARM","3075","2021-05-14 22:08:11"
"RS300RATING_TOKEN_RATING_TYPE","3071","2019-07-11 17:19:24"
"WZ_IMPORT_LOTS","2937","2021-05-01 22:09:29"
"UI_MENU_ITEM","2802","2020-07-28 22:00:47"
"NAVIGATION","2709","2026-03-19 22:06:08"
"EXPT_W17_ORDERS","2514","2020-05-12 22:04:47"
"SYS_EXPORT_FULL_10","2407","2023-11-08 22:00:16"
"DT_PARM_LIST_DTL","2309","2019-07-11 17:18:38"
"SPL_SYS_NUMBER_POOL","2014","2026-05-05 22:03:30"
"PARAM_DEF","1567","2019-08-05 22:00:40"
"RS300RATING_TOKEN_PERFORM_TYPE","1501","2019-07-11 17:19:24"
"C_CARTON_DTL","1427","2026-05-15 22:00:47"
"LRF_EVENT_HISTORY","1402","2026-04-15 22:05:32"
"LRF_REPORT_AUDIT_HISTORY","1402","2026-04-15 22:05:33"
"LRF_SCHED_EVENT_REPORT_HISTORY","1402","2026-04-15 22:05:35"
"UI_MENU_ITEM_PERMISSION","1348","2019-07-11 17:19:39"
"TRAN_PARM","1325","2019-09-23 22:01:15"
"C_ORDER_LINE_ITEM","1257","2026-04-10 22:02:58"
"AP_ALERT_DEF","1224","2022-06-15 22:13:57"
"IMPORT_FORMAT_OFFSETS","1199","2019-07-11 17:18:56"
"WZ_TMP1","1191","2020-04-20 22:00:10"
"XMENU_ITEM_PERMISSION","1155","2019-07-11 17:19:46"
"ER_TABLES","1050","2019-07-11 17:18:42"
"UI_MENU_SCREEN","992","2020-07-28 22:00:42"
"WM_MHE_MSG_FORMAT_DTL","980","2019-08-06 22:00:56"
"MANH_SEQ_MAPPING","973","2019-07-11 17:19:05"
"CUSTOM_DISPLAY_DETAIL","970","2019-07-11 17:18:34"
"CUSTOM_DISPLAY_FIELD","964","2019-07-11 17:18:34"
"SPL_FND_PARTY_PROF","830","2022-05-27 22:00:14"
"SPL_FND_PARTY","830","2022-05-27 22:00:14"
"EXPT_W17_FACILITY","794","2020-04-23 22:00:16"
"C_ORDERS","783","2026-04-22 22:04:59"
"C_ORDER_NOTE","778","2026-04-08 22:08:46"
"XMENU_ITEM_APP","766","2019-07-11 17:19:46"
"FILTER_OBJECT","752","2019-07-11 17:18:53"
"APPLICATION_CONFIGURATION","741","2021-04-20 22:00:46"
"MANH_PRODUCT_PURGING_TABLES","732","2019-07-11 17:19:05"
"XBASE_MENU_ITEM","719","2024-09-19 22:06:05"
"XMENU_ITEM","699","2019-07-29 22:01:25"
"PIX_TRAN_CODE_DTL","665","2019-09-19 22:01:03"
"CUSTOM_FIELD","656","2026-03-31 22:05:22"
"LPN_BAK","615","2026-05-11 22:04:12"
"BUNDLE_META_DATA","611","2019-10-16 22:02:09"
"LPN_DETAIL_BAK","567","2026-04-20 22:43:52"
"CUSTOM_VIEW_UIATTR","509","2019-07-11 17:18:35"
"CUSTOM_DISPLAY_FIELD_ATTRIB","485","2019-07-11 17:18:35"
"AUDIT_FIELD_NAME","473","2019-11-06 22:02:39"
"DT_PARM_LIST","468","2019-07-11 17:18:38"
"LOCN_WIZ_HDR","465","2026-03-20 22:04:40"
"TRAN_MASTER","456","2025-06-20 22:06:16"
"Z_WZ_ASN_REF","454","2026-05-12 22:03:10"
"OBJECT_TYPE_TABLE","439","2019-07-11 17:19:10"
"IMPORT_COLM_LIST","437","2019-07-11 17:18:55"
"XTILE","417","2026-05-06 22:06:15"
"IMPORT_TYPE_COLM_XREF","404","2019-07-29 22:01:24"
"RS300RATING_TOKEN","357","2019-07-11 17:19:24"
"FILTER_FIELD_MASTER","319","2019-07-11 17:18:52"
"EXPT_W17_COMPANY","316","2020-04-23 22:00:16"
"ERROR_LOG_ARGS","306","2026-04-28 22:05:50"
"XQUICK_MENU_ITEM","285","2024-11-18 22:28:37"
"Z_WZ_CAR_MILEAGE","284","2026-03-12 22:04:35"
"LOCN_GRP","272","2021-02-05 22:00:25"
"XQUICK_MENU_PART","268","2021-11-18 22:02:08"
"RF_BIND_KEY","262","2019-08-21 22:01:06"
"LRF_REP_SCHD_PARAM_HISTORY","261","2026-05-14 22:02:22"
"TMP1","258","2024-12-17 22:00:20"
"AP_SYSTEM_ALERT_DEF","246","2019-07-11 17:18:28"
"USER_PROFILE","230","2026-05-16 6:00:21"
"WM_PURGE_DEPENDENCY","221","2019-07-11 17:19:44"
"IMPORT_OFFSET_MASTER","220","2019-07-11 17:18:56"
"PARAM_SPEC_VALUE","202","2019-07-11 17:19:15"
"JMS_DESTINATION_INFO","200","2019-07-11 17:18:59"
"NAVIGATION_PARAMETER","199","2026-03-24 22:02:40"
"PIX_REF_GRP_MASTER","191","2019-07-11 17:19:16"
"CONFIG_TOOL_DTL","191","2019-07-11 17:18:33"
"ROUTER","187","2019-08-06 22:01:00"
"OM_SCHED_EVENT","186","2026-05-16 6:00:19"
